individual,litter_id,sex,year,field_bdate,grid,growth,survived_200d,owner,Std.BD,Std.growth,Std.lynx,Std.hare.fall,Std.mustelid,Std.Cleth,z.density,z.cones,z.temp
4068,1015,F,1992,1992-07-25,SU,2,0,not yet acquired territory,2.164513432,1.002423737,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4070,1015,F,1992,1992-07-25,SU,1.545454545,0,not yet acquired territory,2.164513432,0.503814147,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4072,1015,F,1992,1992-07-25,SU,1.863636364,0,not yet acquired territory,2.164513432,0.85284086,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4074,1015,M,1992,1992-07-25,SU,2.045454545,0,not yet acquired territory,2.164513432,1.052284696,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4076,1038,F,1992,1992-07-21,SU,1.863636364,0,not yet acquired territory,2.001982141,0.85284086,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4078,1038,M,1992,1992-07-21,SU,2.181818182,0,not yet acquired territory,2.001982141,1.201867573,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4080,1038,M,1992,1992-07-21,SU,2.181818182,0,not yet acquired territory,2.001982141,1.201867573,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4082,1029,F,1992,1992-07-21,SU,1.545454545,0,not yet acquired territory,2.001982141,0.503814147,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4084,1029,M,1992,1992-07-21,SU,1.818181818,0,not yet acquired territory,2.001982141,0.802979901,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4086,1029,F,1992,1992-07-21,SU,1.681818182,0,not yet acquired territory,2.001982141,0.653397024,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4088,1029,F,1992,1992-07-21,SU,1.727272727,0,not yet acquired territory,2.001982141,0.703257983,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4090,1029,F,1992,1992-07-21,SU,1.681818182,0,not yet acquired territory,2.001982141,0.653397024,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
